"testUnique" "testCounts"
"1160" "No" 148
"1161" "C" 39
"1162" "major" 61
"1163" "opened" 32
"1164" "concert" 11
"1165" "Planted" 2
"1166" "firmly" 4
"1167" "Haydn" 1
"1168" "Mozart" 2
"1169" "tradition" 9
"1170" "symphonic" 1
"1171" "composition" 3
"1172" "unmistakably" 1
"1173" "harmonies" 1
"1174" "uses" 18
"1175" "instruments" 5
"1176" "worth" 31
"1177" "Spain" 15
"1178" "joined" 20
"1179" "seven" 82
"1180" "euro" 4
"1181" "zone" 14
"1182" "nations" 10
"1183" "recession" 20
"1184" "providing" 28
"1185" "evidence" 26
"1186" "austerity" 8
"1187" "policies" 16
"1188" "failing" 8
"1189" "spark" 4
"1190" "confidence" 21
"1191" "region" 40
"1192" "economies" 4
"1193" "ahead" 32
"1194" "expected" 72
"1195" "anti" 19
"1196" "protests" 10
"1197" "string" 4
"1198" "important" 72
"1199" "national" 59
"1200" "elections" 18
"1201" "Dre" 1
"1202" "production" 26
"1203" "approached" 10
"1204" "Digital" 1
"1205" "Domain" 1
"1206" "discuss" 11
"1207" "possibility" 12
"1208" "virtual" 4
"1209" "Tupac" 1
"1210" "earnest" 3
"1211" "Coachella" 4
"1212" "performance" 46
"1213" "months" 86
"1214" "Even" 39
"1215" "station" 26
"1216" "commander" 4
"1217" "Staff" 3
"1218" "Sgt" 7
"1219" "Shawndelin" 1
"1220" "Hall" 39
"1221" "recalled" 13
"1222" "wants" 38
"1223" "happen" 31
"1224" "Supporters" 4
"1225" "protected" 4
"1226" "existing" 13
"1227" "conscience" 4
"1228" "exemptions" 3
"1229" "note" 14
"1230" "bill" 68
"1231" "destruct" 1
"1232" "clause" 1
"1233" "nullifying" 1
"1234" "found" 139
"1235" "conflict" 4
"1236" "ensure" 14
"1237" "Washington" 74
"1238" "states" 47
"1239" "legalized" 2
"1240" "abortion" 7
"1241" "landmark" 4
"1242" "1973" 5
"1243" "Roe" 1
"1244" "v" 1
"1245" "Wade" 5
"1246" "decision" 48
"1247" "continue" 55
"1248" "easy" 40
"1249" "access" 29
"1250" "abortions" 2
"1251" "care" 76
"1252" "reforms" 6
"1253" "enacted" 3
"1254" "2014" 8
"1255" "According" 28
"1256" "suspect" 15
"1257" "allegedly" 10
"1258" "took" 99
"1259" "keys" 4
"1260" "wallet" 2
"1261" "Oct" 15
"1262" "medical" 61
"1263" "Millburn" 2
"1264" "hands" 24
"1265" "Camry" 3
"1266" "issued" 20
"1267" "owned" 15
"1268" "practice" 41
"1269" "parked" 11
"1270" "cards" 16
"1271" "employee’s" 1
"1272" "name" 54
"1273" "co" 28
"1274" "Cindy" 3
"1275" "Backer" 1
"1276" "High" 67
"1277" "Ridge" 11
"1278" "Mo" 7
"1279" "nominated" 4
"1280" "alert" 3
"1281" "security" 50
"1282" "officers" 45
"1283" "2005" 33
"1284" "18" 91
"1285" "Denver" 23
"1286" "20" 143
"1287" "Diego" 21
"1288" "On" 96
"1289" "prefers" 4
"1290" "left" 117
"1291" "side" 65
"1292" "civil" 18
"1293" "rights" 26
"1294" "attorney" 50
"1295" "journalist" 5
"1296" "never" 127
"1297" "run" 119
"1298" "eliminate" 8
"1299" "bloat" 1
"1300" "create" 48
"1301" "improve" 26
"1302" "services" 47
"1303" "agency" 54
"1304" "increase" 37
"1305" "openness" 1
"1306" "perfect" 29
"1307" "throw" 25
"1308" "Young" 16
"1309" "knock" 7
"1310" "Armstead" 2
"1311" "Gorney" 1
"1312" "play" 137
"1313" "physical" 13
"1314" "dominance" 2
"1315" "offense" 29
"1316" "times" 82
"1317" "takes" 47
"1318" "plays" 47
"1319" "25" 99
"1320" "Bloomfield" 9
"1321" "residents" 55
"1322" "Joshua" 1
"1323" "Rubens" 1
